country,countrylabel,cabinet,cabinetlabel
Q40,Austria,Q109907459,Nehammer government
Q31,Belgium,Q99749625,De Croo Government
Q219,Bulgaria,Q119142587,Denkov Government
Q224,Croatia,Q97652364,Cabinet of Andrej Plenković II
Q229,Cyprus,Q116847231,Christodoulides government
Q213,Czech Republic,Q109453202,Cabinet of Petr Fiala
Q35,Denmark,Q115694681,Frederiksen II Cabinet
Q191,Estonia,Q117481522,Kaja Kallas's third cabinet
Q33,Finland,Q119560876,Orpo Cabinet
Q142,France,Q124218594,Attal government
Q183,Germany,Q109712556,Scholz cabinet
Q41,Greece,Q119960266,Second Cabinet of Kyriakos Mitsotakis
Q28,Hungary,Q111475445,Fifth Orbán Government
Q27,Republic of Ireland,Q116444083,Government of the 33rd Dáil
Q38,Italy,Q114796219,Meloni government
Q211,Latvia,Q122585769,Siliņa cabinet
Q37,Lithuania,Q101558001,Šimonytė Cabinet
Q32,Luxembourg,Q123472704,Frieden-Bettel Government
Q233,Malta,Q111439067,Maltese Government 2022–2027
Q55,Netherlands,Q110111120,Fourth Rutte cabinet
Q36,Poland,Q123752134,Third Cabinet of Donald Tusk
Q45,Portugal,Q110819776,XXIII Constitutional Government of Portugal
Q218,Romania,Q119472111,Ciolacu Cabinet
Q214,Slovakia,Q123183283,Fico's Fourth Cabinet
Q215,Slovenia,Q112121256,15th Government of Slovenia
Q29,Spain,Q123463301,Third government of Pedro Sánchez
Q34,Sweden,Q114671310,Kristersson cabinet
